year,anomaly,gcm,scenario
2038,1.43543410301208,MIROC-ESM,rcp45
2039,1.38160109519958,MIROC-ESM,rcp45
2040,1.56827712059021,MIROC-ESM,rcp45
2041,1.47745609283447,MIROC-ESM,rcp45
2042,1.52921414375305,MIROC-ESM,rcp45
2043,1.50943911075592,MIROC-ESM,rcp45
2044,1.59220314025879,MIROC-ESM,rcp45
2045,1.52210414409637,MIROC-ESM,rcp45
2046,1.64808011054993,MIROC-ESM,rcp45
2047,1.64905714988708,MIROC-ESM,rcp45
2048,1.77448415756226,MIROC-ESM,rcp45
2049,1.79981410503387,MIROC-ESM,rcp45
2050,1.74875807762146,MIROC-ESM,rcp45
2051,1.77851212024689,MIROC-ESM,rcp45
2052,1.80872511863708,MIROC-ESM,rcp45
2053,1.77750515937805,MIROC-ESM,rcp45
2054,1.76676309108734,MIROC-ESM,rcp45
2055,1.71656215190887,MIROC-ESM,rcp45
2056,1.59470510482788,MIROC-ESM,rcp45
2057,1.83130812644958,MIROC-ESM,rcp45
2058,2.01899099349976,MIROC-ESM,rcp45
2059,1.97199404239655,MIROC-ESM,rcp45
2060,1.96845412254333,MIROC-ESM,rcp45
2061,1.96405911445618,MIROC-ESM,rcp45
2062,2.19635915756226,MIROC-ESM,rcp45
2063,2.19303321838379,MIROC-ESM,rcp45
2064,2.21283912658691,MIROC-ESM,rcp45
2065,2.16892409324646,MIROC-ESM,rcp45
2066,2.28025221824646,MIROC-ESM,rcp45
2067,2.35477614402771,MIROC-ESM,rcp45
2068,2.32578420639038,MIROC-ESM,rcp45
2069,2.1240930557251,MIROC-ESM,rcp45
2070,2.20304203033447,MIROC-ESM,rcp45
2071,2.31076908111572,MIROC-ESM,rcp45
2072,2.41184401512146,MIROC-ESM,rcp45
2073,2.39057302474976,MIROC-ESM,rcp45
2074,2.37021803855896,MIROC-ESM,rcp45
2075,2.47681617736816,MIROC-ESM,rcp45
2076,2.49332618713379,MIROC-ESM,rcp45
2077,2.53653812408447,MIROC-ESM,rcp45
2078,2.39402103424072,MIROC-ESM,rcp45
2079,2.37812209129333,MIROC-ESM,rcp45
2080,2.47159719467163,MIROC-ESM,rcp45
2081,2.40696120262146,MIROC-ESM,rcp45
2082,2.48438405990601,MIROC-ESM,rcp45
2083,2.38080716133118,MIROC-ESM,rcp45
2084,2.43955421447754,MIROC-ESM,rcp45
2085,2.4457790851593,MIROC-ESM,rcp45
2086,2.37168312072754,MIROC-ESM,rcp45
2087,2.31263113021851,MIROC-ESM,rcp45
2088,2.33161306381226,MIROC-ESM,rcp45
2089,2.29776906967163,MIROC-ESM,rcp45
2090,2.48380398750305,MIROC-ESM,rcp45
2091,2.55301809310913,MIROC-ESM,rcp45
2092,2.53165602684021,MIROC-ESM,rcp45
2093,2.49869704246521,MIROC-ESM,rcp45
2094,2.48279714584351,MIROC-ESM,rcp45
2095,2.36216115951538,MIROC-ESM,rcp45
2096,2.45087599754333,MIROC-ESM,rcp45
2097,2.4250271320343,MIROC-ESM,rcp45
2098,2.59537601470947,MIROC-ESM,rcp45
